Countries,January,February,02-Mar,09-Mar,16-Mar,23-Mar,30-Mar,06-Apr,13-Apr,20-Apr,27-Apr
ALL,0.80%,-8.60%,-7.90%,-10.10%,-12.40%,-28.70%,-47.70%,-59.20%,-64.90%,-67.20%,-66.80%
Spain,-3.70%,-1.80%,-1.40%,-2.90%,-13.70%,-74.30%,-88.50%,-92.60%,-94.20%,-95.10%,-94.10%
Hong Kong,-9.70%,-46.50%,-70.40%,-77.50%,-80.80%,-81.70%,-88.30%,-92.30%,-94.20%,-94.50%,-93.20%
Germany,-8.50%,-6.90%,-5.00%,-15.40%,-30.20%,-71.90%,-88.60%,-92.60%,-92.50%,-93.70%,-92.90%
Singapore,-0.10%,-16.10%,-25.40%,-35.70%,-35.50%,-76.90%,-90.80%,-89.90%,-92.50%,-97.10%,-95.90%
Italy,-3.30%,-4.20%,-8.80%,-21.60%,-73.90%,-88.00%,-89.20%,-89.00%,-92.20%,-81.20%,-80.20%
France,-0.80%,0.40%,-2.00%,-3.80%,-13.70%,-41.30%,-81.40%,-87.00%,-92.10%,-91.70%,-91.80%
UK,-3.80%,-3.30%,-2.70%,-15.50%,-19.30%,-53.50%,-75.60%,-90.70%,-92.00%,-93.20%,-93.50%
Australia,-3.50%,-3.20%,-1.70%,-2.30%,-2.90%,-15.90%,-63.10%,-78.10%,-84.60%,-83.70%,-84.40%
Sweden,-9.20%,-5.60%,-4.80%,-6.40%,-14.10%,-65.30%,-77.10%,-84.20%,-84.40%,-90.00%,-89.80%
UAE,-1.90%,-3.00%,-2.90%,-8.30%,-24.40%,-57.60%,-85.80%,-84.40%,-78.50%,-79.70%,-81.40%
South Korea,2.20%,-11.60%,-34.10%,-52.10%,-56.10%,-55.70%,-56.60%,-59.30%,-60.50%,-58.80%,-48.50%
USA,1.70%,1.20%,-2.10%,-1.30%,-0.50%,-4.80%,-23.00%,-45.20%,-58.00%,-60.80%,-63.50%
India,2.10%,6.30%,9.90%,10.00%,8.30%,1.80%,-68.00%,-71.10%,-79.90%,-88.50%,-93.60%
China,4.30%,-55.10%,-41.60%,-42.90%,-38.70%,-37.50%,-43.90%,-46.20%,-42.60%,-42.40%,-39.20%
Japan,2.40%,-3.50%,-7.60%,-15.00%,-19.20%,-24.30%,-27.90%,-32.00%,-40.10%,-44.40%,-44.60%
